description,min_salary,max_salary,min_vacany,max_vacany
Restaurants,5160.0,8400.0,0,2
Real Estate Operating Companies,7062.032085561497,10666.524064171123,0,500
"Hotels, Resorts & Cruise Lines",4080.0,7340.0,0,500
Thrifts & Mortgage Finance,4800.0,11600.0,0,30
Auto Parts & Equipment,7851.983338983051,12540.11893220339,0,100
Apparel Retail,6254.117647058823,9691.764705882353,0,2
Integrated Telecommunication Services,5884.615384615385,10232.307692307691,0,1400
Gold,3165.0,6015.0,0,4
Diversified Support Services,4950.114068441065,8061.444866920152,0,200
Movies & Entertainment,3473.3333333333335,6724.0,0,100
Trading Companies & Distributors,9442.857142857143,15714.285714285714,0,2
Personal Products,8077.264363636364,12394.545454545454,0,4
Data Processing & Outsourced Services,5838.507717851329,9681.55181768855,0,1000
Leisure Products,3485.4545454545455,6163.636363636364,0,6
Investment Banking & Brokerage,10244.011976047905,16543.11377245509,0,150
Aerospace & Defense,14433.333333333334,19066.666666666668,0,2
Oil & Gas Equipment & Services,10332.272727272728,16179.545454545454,0,25
Electrical Components & Equipment,1950.0,5010.0,0,3
Health Care Services,7171.726618705036,11341.726618705035,0,2001
Industrial Machinery,5810.163934426229,9634.426229508197,0,120
Internet & Direct Marketing Retail,6474.1463414634145,10242.19512195122,0,51
Commodity Chemicals,10715.384615384615,15387.692307692309,0,3
Application Software,8529.807060044477,14396.753150481838,0,1234
Environmental & Facilities Services,6014.634146341464,10741.463414634147,0,10
Electronic Equipment & Instruments,2175.0,4875.0,0,25
Electric Utilities,18000.0,21600.0,3,3
Asset Management & Custody Banks,12000.0,14400.0,0,0
